"","Pathway","N","Up","Down","P.Up","P.Down"
"path:hsa01100","Metabolic pathways",1192,757,510,3.06701743668747e-20,8.95485862749271e-10
"path:hsa04612","Antigen processing and presentation",66,52,46,2.33771579900986e-06,6.26015359671214e-09
"path:hsa05165","Human papillomavirus infection",256,175,124,6.35199468579934e-09,3.05690711311583e-06
"path:hsa05022","Pathways of neurodegeneration - multiple diseases",361,235,155,1.79856101714586e-08,0.000551710734320942
"path:hsa04141","Protein processing in endoplasmic reticulum",138,102,57,1.93543551559853e-08,0.0590535569737796
"path:hsa05014","Amyotrophic lateral sclerosis",283,186,123,1.95825945698924e-07,0.00113237188115861
"path:hsa05010","Alzheimer disease",288,188,123,3.4736369963435e-07,0.00241685321560274
"path:hsa04144","Endocytosis",192,131,100,5.78089193675161e-07,4.396623835811e-07
"path:hsa05016","Huntington disease",238,157,100,1.21959854354661e-06,0.00995027411417822
"path:hsa05163","Human cytomegalovirus infection",172,118,77,1.33678876083397e-06,0.00351385213601622
"path:hsa05168","Herpes simplex virus 1 infection",358,225,151,2.01195597296103e-06,0.00157512245890206
"path:hsa04142","Lysosome",115,83,56,2.09539205010624e-06,0.00123000457639808
"path:hsa05416","Viral myocarditis",47,35,32,0.000749422694620348,2.89061837421275e-06
"path:hsa04380","Osteoclast differentiation",100,73,50,4.29326982653656e-06,0.00105433430220064
"path:hsa00310","Lysine degradation",50,35,33,0.00438834961011659,5.77986517404253e-06
"path:hsa05415","Diabetic cardiomyopathy",159,108,66,7.54348241828628e-06,0.0406754360718139
"path:hsa04510","Focal adhesion",153,103,79,2.19265721675176e-05,1.03592903988349e-05
"path:hsa05169","Epstein-Barr virus infection",156,103,80,7.40981267789403e-05,1.26862110488188e-05
"path:hsa05160","Hepatitis C",117,82,50,1.53181133887714e-05,0.0406712011142175
"path:hsa04530","Tight junction",126,87,59,2.14517234304108e-05,0.00295645995761222
