"","Pathway","N","Up","Down","P.Up","P.Down"
"path:hsa01100","Metabolic pathways",1192,431,497,1.96866229505487e-10,5.0472630216041e-11
"path:hsa04612","Antigen processing and presentation",66,41,46,7.77408746404919e-09,1.09090355355015e-09
"path:hsa05014","Amyotrophic lateral sclerosis",283,106,136,0.000339097702970292,8.40677131785743e-08
"path:hsa05166","Human T-cell leukemia virus 1 infection",174,75,91,1.37138755567214e-05,1.00082504264824e-07
"path:hsa04650","Natural killer cell mediated cytotoxicity",91,37,54,0.0062934674924158,2.08696465236193e-07
"path:hsa04015","Rap1 signaling pathway",161,58,84,0.0162877160566932,3.49042717756768e-07
"path:hsa05022","Pathways of neurodegeneration - multiple diseases",361,138,164,1.51307832338119e-05,4.5372711707721e-07
"path:hsa05165","Human papillomavirus infection",256,108,121,7.2010522589139e-07,1.2493982585745e-06
"path:hsa05169","Epstein-Barr virus infection",156,72,81,1.01813128788869e-06,7.25576747292295e-07
"path:hsa05010","Alzheimer disease",288,119,133,7.38305456426436e-07,1.84586254518114e-06
"path:hsa05205","Proteoglycans in cancer",158,73,64,8.17689456610302e-07,0.0276253580710427
"path:hsa05163","Human cytomegalovirus infection",172,64,87,0.00545795643743045,1.22894174277627e-06
"path:hsa04144","Endocytosis",192,74,95,0.00100187859078961,1.4468675340266e-06
"path:hsa04380","Osteoclast differentiation",100,46,56,9.46167563492406e-05,1.72898813629054e-06
"path:hsa04010","MAPK signaling pathway",209,84,101,9.45101251426507e-05,2.69032511990706e-06
"path:hsa05170","Human immunodeficiency virus 1 infection",153,64,78,0.000163042482289105,2.90383173554032e-06
"path:hsa05416","Viral myocarditis",47,22,31,0.00466476808540882,3.67317219598293e-06
"path:hsa04211","Longevity regulating pathway",66,30,40,0.00186016123603307,3.68298799316165e-06
"path:hsa05332","Graft-versus-host disease",37,23,26,1.52382529181392e-05,3.76636204832859e-06
"path:hsa05168","Herpes simplex virus 1 infection",358,139,141,5.55778657874791e-06,0.00585931510682237
