"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0008150","biological_process","BP",12926,4968,7513,2.35734124107523e-134,2.80739192138328e-178
"GO:0009987","cellular process","BP",12114,4697,7099,2.89548672227201e-125,5.91757112774432e-170
"GO:0044237","cellular metabolic process","BP",7750,3041,4651,6.62436645239405e-59,1.75002475784344e-98
"GO:0008152","metabolic process","BP",8581,3319,5073,4.3183096920024e-59,1.38083318268878e-95
"GO:0044238","primary metabolic process","BP",7588,2968,4537,5.78139395941113e-55,6.99875838656946e-91
"GO:0065007","biological regulation","BP",8961,3463,5242,4.09956089423623e-63,1.01488617604961e-88
"GO:0071704","organic substance metabolic process","BP",8204,3170,4848,4.18687240913821e-54,3.98094704877838e-88
"GO:0006807","nitrogen compound metabolic process","BP",7210,2823,4311,2.36798318821567e-51,5.31686614153201e-84
"GO:0050794","regulation of cellular process","BP",7972,3139,4677,4.32638426908883e-64,5.2068962875489e-76
"GO:0050789","regulation of biological process","BP",8428,3286,4913,5.95960138950315e-63,7.56978029990438e-76
"GO:1901564","organonitrogen compound metabolic process","BP",4729,1899,2939,1.71552213992278e-37,1.11064343045738e-73
"GO:0043170","macromolecule metabolic process","BP",7089,2744,4190,6.99087270921333e-44,2.71191432110375e-70
"GO:0044260","cellular macromolecule metabolic process","BP",4299,1758,2681,1.45356911736093e-39,7.95975165452673e-68
"GO:0071840","cellular component organization or biogenesis","BP",4789,2019,2944,4.69020235409203e-59,1.61102546724547e-66
"GO:0016043","cellular component organization","BP",4636,1963,2858,1.02478842100014e-58,7.29108954027259e-66
"GO:0019538","protein metabolic process","BP",4029,1623,2516,8.52991583515922e-32,1.50571430399227e-63
"GO:0044267","cellular protein metabolic process","BP",3613,1486,2266,7.09875156189513e-34,2.43341711651514e-58
"GO:0051179","localization","BP",4549,1883,2766,2.60314215068261e-47,4.5471880519644e-55
"GO:0032502","developmental process","BP",4588,1808,2774,7.94796772402513e-30,4.47061033560664e-52
"GO:0048856","anatomical structure development","BP",4180,1650,2547,3.90481205156804e-27,7.26229578858089e-51
"GO:0050896","response to stimulus","BP",6290,2441,3675,5.00025893657218e-38,2.85500643257195e-50
"GO:0048518","positive regulation of biological process","BP",4556,1869,2748,9.53620236345143e-44,3.76986550750439e-50
"GO:0043412","macromolecule modification","BP",2917,1200,1844,1.14071221131792e-26,2.22655500471046e-49
"GO:0006464","cellular protein modification process","BP",2751,1135,1748,1.173618283081e-25,1.32582294513846e-48
"GO:0036211","protein modification process","BP",2751,1135,1748,1.173618283081e-25,1.32582294513846e-48
"GO:0006996","organelle organization","BP",2945,1251,1850,3.7323681663108e-35,6.73809775669688e-47
"GO:0048522","positive regulation of cellular process","BP",4166,1716,2520,1.21153552014931e-40,1.58615006997299e-46
"GO:0051716","cellular response to stimulus","BP",5280,2071,3119,7.36294747897589e-34,2.40434742960728e-46
"GO:0019222","regulation of metabolic process","BP",5014,1970,2971,2.82101650989033e-32,3.42401041705417e-45
"GO:0009058","biosynthetic process","BP",4246,1687,2557,1.49114522770059e-29,3.86811816328568e-45
"GO:0031323","regulation of cellular metabolic process","BP",4379,1743,2627,3.07716004468438e-31,1.0254989017841e-44
"GO:1901576","organic substance biosynthetic process","BP",4188,1669,2523,5.71294491246934e-30,1.35852588536649e-44
"GO:0032501","multicellular organismal process","BP",5238,2019,3086,1.56016357582397e-27,3.01775037416097e-44
"GO:0044249","cellular biosynthetic process","BP",4151,1651,2500,4.487027434606e-29,5.7266144912164e-44
"GO:0051234","establishment of localization","BP",3401,1421,2089,3.59129124811258e-36,1.20018555431656e-43
"GO:0006810","transport","BP",3275,1367,2017,2.34228940390925e-34,4.83165937782136e-43
"GO:0007275","multicellular organism development","BP",3479,1388,2129,1.91857117625792e-24,5.34096327042356e-43
"GO:0034641","cellular nitrogen compound metabolic process","BP",4832,1919,2860,1.77563899707612e-34,1.66778705011306e-42
"GO:0033036","macromolecule localization","BP",2184,969,1399,5.3933929892028e-35,8.50199003579074e-41
"GO:0080090","regulation of primary metabolic process","BP",4237,1671,2531,2.55623782525832e-27,9.69945951867144e-41
"GO:0048731","system development","BP",3150,1247,1936,2.81179486891109e-20,2.86765849632601e-40
"GO:0051171","regulation of nitrogen compound metabolic process","BP",4138,1635,2475,4.41164754027834e-27,3.09941035632676e-40
"GO:0060255","regulation of macromolecule metabolic process","BP",4641,1813,2742,1.50818364668082e-27,1.82834208056929e-39
"GO:0051641","cellular localization","BP",2137,928,1364,2.33896438000627e-29,1.46031252025076e-38
"GO:0008104","protein localization","BP",1858,828,1202,2.02447265923966e-30,1.3080342509413e-37
"GO:0007154","cell communication","BP",4614,1818,2711,5.43993619264556e-30,2.41570534706121e-36
"GO:0044085","cellular component biogenesis","BP",2401,1044,1503,1.4809419862099e-33,3.39194680579086e-36
"GO:0023052","signaling","BP",4565,1793,2683,1.26696781803752e-28,5.11951547934484e-36
"GO:0009059","macromolecule biosynthetic process","BP",3449,1364,2080,3.51560884568558e-22,5.66526390186446e-36
"GO:1901360","organic cyclic compound metabolic process","BP",4535,1789,2663,9.8557221967279e-30,2.71113979036386e-35
"GO:0046483","heterocycle metabolic process","BP",4320,1705,2547,3.54800551906678e-28,3.67272376650111e-35
"GO:0022607","cellular component assembly","BP",2213,971,1393,8.0064096872916e-33,4.79468955143373e-35
"GO:0048523","negative regulation of cellular process","BP",3603,1462,2159,6.96277668018232e-30,5.31836744190233e-35
"GO:0006725","cellular aromatic compound metabolic process","BP",4364,1721,2569,2.75372984111412e-28,7.3255337572702e-35
"GO:0009056","catabolic process","BP",1927,759,1227,1.01857142991036e-11,8.1499003312561e-34
"GO:0006139","nucleobase-containing compound metabolic process","BP",4199,1661,2474,6.98525138947022e-28,1.11161576175371e-33
"GO:0048519","negative regulation of biological process","BP",4039,1594,2387,5.30196432775149e-26,1.66056669343762e-33
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",3460,1385,2073,4.33271314070614e-25,2.35024676005609e-33
"GO:0010467","gene expression","BP",4651,1799,2714,9.90216778860361e-25,2.57210498380399e-33
"GO:0006950","response to stress","BP",2796,1126,1708,4.8730535851577e-21,5.43897220797411e-33
"GO:0048583","regulation of response to stimulus","BP",2900,1165,1765,2.22943683727015e-21,6.03048791136305e-33
"GO:0007165","signal transduction","BP",4201,1664,2471,2.78935154580022e-28,6.1729969411539e-33
"GO:0065009","regulation of molecular function","BP",2284,919,1422,6.56991665620405e-17,1.76615317576608e-32
"GO:0065008","regulation of biological quality","BP",2764,1080,1687,1.84756129618994e-15,2.87013039882508e-32
"GO:0048513","animal organ development","BP",2463,984,1515,4.27425604914795e-17,5.13703528775228e-31
"GO:0009893","positive regulation of metabolic process","BP",2795,1153,1698,4.51201054461396e-26,5.37723893591479e-31
"GO:0006793","phosphorus metabolic process","BP",2040,840,1277,1.83807305855736e-18,1.85923291346267e-30
