"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0008150","biological_process","BP",12926,3883,2480,8.00131705075069e-110,4.14571299916209e-64
"GO:0009987","cellular process","BP",12114,3667,2343,4.38601924546668e-100,1.27104947701928e-58
"GO:0065007","biological regulation","BP",8961,2747,1757,7.11140004985173e-60,1.69580688331924e-35
"GO:0071840","cellular component organization or biogenesis","BP",4789,1626,1009,7.36449303810641e-57,1.11065610956957e-26
"GO:0016043","cellular component organization","BP",4636,1583,984,8.50548360171254e-57,4.43066532699002e-27
"GO:0050789","regulation of biological process","BP",8428,2589,1655,6.35809048190626e-55,2.11672705565195e-32
"GO:0050794","regulation of cellular process","BP",7972,2469,1579,2.18440453793081e-54,3.40561191332896e-32
"GO:0008152","metabolic process","BP",8581,2619,1657,6.76447298281431e-53,5.38510775643394e-28
"GO:0044237","cellular metabolic process","BP",7750,2399,1525,1.15251535790293e-51,7.65628963856857e-29
"GO:0006807","nitrogen compound metabolic process","BP",7210,2254,1389,8.18202619417411e-51,9.26692466881759e-21
"GO:0044238","primary metabolic process","BP",7588,2349,1482,5.62762161109689e-50,7.07104336998731e-26
"GO:0048518","positive regulation of biological process","BP",4556,1533,966,6.26849872472517e-50,2.68548984112101e-26
"GO:0071704","organic substance metabolic process","BP",8204,2504,1582,5.26631273941963e-49,1.3591849483617e-25
"GO:0048522","positive regulation of cellular process","BP",4166,1408,892,3.9646012207018e-46,2.44258539366953e-25
"GO:0043170","macromolecule metabolic process","BP",7089,2184,1362,7.77421387850621e-43,1.12807502953724e-19
"GO:0044260","cellular macromolecule metabolic process","BP",4299,1423,888,5.05080197433416e-41,4.50796452583723e-20
"GO:1901564","organonitrogen compound metabolic process","BP",4729,1534,950,2.48167914844368e-39,7.56022414772667e-18
"GO:0044085","cellular component biogenesis","BP",2401,870,500,1.13648062290109e-38,1.91568308418691e-11
"GO:0022607","cellular component assembly","BP",2213,814,469,1.14733097347195e-38,6.05507207600962e-12
