"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0008150","biological_process","BP",12926,2773,2536,1.66299472483171e-77,2.6506115923395e-72
"GO:0009987","cellular process","BP",12114,2631,2397,4.30159308714953e-74,4.23751888394231e-66
"GO:0065007","biological regulation","BP",8961,2008,1761,1.54757646662296e-52,5.33318047515141e-32
"GO:0050789","regulation of biological process","BP",8428,1894,1668,2.3029547633615e-48,5.11454445962384e-31
"GO:0050794","regulation of cellular process","BP",7972,1806,1596,2.50466931161243e-47,8.63262774747146e-32
"GO:0008152","metabolic process","BP",8581,1900,1689,2.27733367978679e-43,3.47888133855813e-30
"GO:0044237","cellular metabolic process","BP",7750,1742,1556,4.20766988881156e-42,3.02744831548689e-31
"GO:0071704","organic substance metabolic process","BP",8204,1816,1609,4.81014764558208e-40,6.00678215763662e-27
"GO:0050896","response to stimulus","BP",6290,1452,1259,1.34037345669759e-38,2.65745753625294e-22
"GO:0016043","cellular component organization","BP",4636,1072,1043,3.98847141629595e-26,1.30348105567417e-37
"GO:0044238","primary metabolic process","BP",7588,1691,1512,1.35032348915486e-37,4.71363236316338e-28
"GO:0071840","cellular component organization or biogenesis","BP",4789,1107,1067,3.97659920639976e-27,1.00992975777645e-36
"GO:0048522","positive regulation of cellular process","BP",4166,1024,910,1.08315932872886e-35,6.23852296312877e-27
"GO:0006807","nitrogen compound metabolic process","BP",7210,1611,1433,1.39321225269442e-35,2.69184155619803e-25
"GO:0048518","positive regulation of biological process","BP",4556,1100,984,2.85368203759262e-35,1.09644699999067e-27
"GO:0051716","cellular response to stimulus","BP",5280,1225,1076,1.20519170368603e-31,6.83650874980858e-21
"GO:0043170","macromolecule metabolic process","BP",7089,1564,1391,8.97492394108793e-31,1.23958029212828e-21
"GO:0051179","localization","BP",4549,1058,996,1.03925529147503e-26,1.72560444928122e-30
"GO:1901564","organonitrogen compound metabolic process","BP",4729,1112,985,1.73553081967538e-30,6.50900682585106e-22
"GO:0007154","cell communication","BP",4614,1079,940,2.37071006669751e-28,1.15963995426882e-17
"GO:0023052","signaling","BP",4565,1069,932,2.84209386802576e-28,9.18379639122051e-18
"GO:0007165","signal transduction","BP",4201,990,868,8.49871250735102e-27,8.08148674282509e-18
"GO:0044260","cellular macromolecule metabolic process","BP",4299,1009,923,9.92686699991496e-27,1.08272310054859e-24
"GO:0032501","multicellular organismal process","BP",5238,1186,1057,1.24229496443035e-25,6.11173660549818e-19
"GO:0048856","anatomical structure development","BP",4180,978,885,3.06989438741832e-25,1.69798986587427e-21
"GO:0051234","establishment of localization","BP",3401,799,760,1.61760329896147e-20,8.15861514515694e-25
"GO:0032502","developmental process","BP",4588,1054,963,1.74224118345559e-24,1.83895367807707e-22
"GO:0019538","protein metabolic process","BP",4029,944,850,2.02355536521733e-24,4.89487391134242e-20
"GO:0019222","regulation of metabolic process","BP",5014,1135,1013,3.38774693636809e-24,3.8848303015445e-18
"GO:0006810","transport","BP",3275,760,733,5.81646286426773e-18,5.01897354652987e-24
"GO:0022607","cellular component assembly","BP",2213,524,532,8.15959863688897e-14,5.1001923446577e-24
"GO:0034641","cellular nitrogen compound metabolic process","BP",4832,1098,967,7.30479836484263e-24,6.63506930484019e-16
"GO:0051128","regulation of cellular component organization","BP",1754,443,440,1.75494745119039e-16,1.46521482803173e-23
"GO:0044085","cellular component biogenesis","BP",2401,569,566,4.42022650052481e-15,1.78193274924861e-23
"GO:0007275","multicellular organism development","BP",3479,829,735,2.5846446845155e-23,3.68799323490775e-17
"GO:0033036","macromolecule localization","BP",2184,555,522,2.44767947203052e-21,5.98784413109695e-23
"GO:0006996","organelle organization","BP",2945,702,666,1.92566509024947e-19,8.05804441814416e-23
"GO:0031323","regulation of cellular metabolic process","BP",4379,1004,888,8.91402497535464e-23,5.89984109409556e-16
