"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0005840","CC","GO:0005840","ribosome",103,0.76591132016437,5.05322115486645,1e-10,1.35260663507109e-09,7.2561736093789e-10,4311,"tags=93%, list=18%, signal=77%","ENST00000300151/ENST00000371443/ENST00000298283/ENST00000534340/ENST00000632799/ENST00000634150/ENST00000633919/ENST00000288937/ENST00000529958/ENST00000617731/ENST00000632240/ENST00000632419/ENST00000632530/ENST00000632592/ENST00000633731/ENST00000578532/ENST00000579248/ENST00000579408/ENST00000580210/ENST00000580261/ENST00000580387/ENST00000581091/ENST00000581373/ENST00000582935/ENST00000583036/ENST00000583637/ENST00000584364/ENST00000615479/ENST00000615760/ENST00000617346/ENST00000618613/ENST00000618619/ENST00000285298/ENST00000443449/ENST00000221975/ENST00000593863/ENST00000600467/ENST00000598399/ENST00000540949/ENST00000598742/ENST00000543703/ENST00000537701/ENST00000538814/ENST00000543164/ENST00000543959/ENST00000598261/ENST00000598466/ENST00000601492/ENST00000610796/ENST00000611572/ENST00000614070/ENST00000614095/ENST00000619600/ENST00000621621/ENST00000492704/ENST00000279242/ENST00000524482/ENST00000526319/ENST00000532671/ENST00000309594/ENST00000531705/ENST00000532203/ENST00000372014/ENST00000599561/ENST00000594493/ENST00000601306/ENST00000599167/ENST00000602252/ENST00000595158/ENST00000595683/ENST00000596304/ENST00000597451/ENST00000599551/ENST00000596272/ENST00000270625/ENST00000600027/ENST00000598780/ENST00000599595/ENST00000442744/ENST00000596273/ENST00000596873/ENST00000601216/ENST00000594527/ENST00000430157/ENST00000252602/ENST00000595444/ENST00000602206/ENST00000600434/ENST00000601390/ENST00000525634/ENST00000525828/ENST00000526895/ENST00000333130/ENST00000443660/ENST00000471259/ENST00000594999"
"GO:0044391","CC","GO:0044391","ribosomal subunit",103,0.76591132016437,5.05322115486645,1e-10,1.35260663507109e-09,7.2561736093789e-10,4311,"tags=93%, list=18%, signal=77%","ENST00000300151/ENST00000371443/ENST00000298283/ENST00000534340/ENST00000632799/ENST00000634150/ENST00000633919/ENST00000288937/ENST00000529958/ENST00000617731/ENST00000632240/ENST00000632419/ENST00000632530/ENST00000632592/ENST00000633731/ENST00000578532/ENST00000579248/ENST00000579408/ENST00000580210/ENST00000580261/ENST00000580387/ENST00000581091/ENST00000581373/ENST00000582935/ENST00000583036/ENST00000583637/ENST00000584364/ENST00000615479/ENST00000615760/ENST00000617346/ENST00000618613/ENST00000618619/ENST00000285298/ENST00000443449/ENST00000221975/ENST00000593863/ENST00000600467/ENST00000598399/ENST00000540949/ENST00000598742/ENST00000543703/ENST00000537701/ENST00000538814/ENST00000543164/ENST00000543959/ENST00000598261/ENST00000598466/ENST00000601492/ENST00000610796/ENST00000611572/ENST00000614070/ENST00000614095/ENST00000619600/ENST00000621621/ENST00000492704/ENST00000279242/ENST00000524482/ENST00000526319/ENST00000532671/ENST00000309594/ENST00000531705/ENST00000532203/ENST00000372014/ENST00000599561/ENST00000594493/ENST00000601306/ENST00000599167/ENST00000602252/ENST00000595158/ENST00000595683/ENST00000596304/ENST00000597451/ENST00000599551/ENST00000596272/ENST00000270625/ENST00000600027/ENST00000598780/ENST00000599595/ENST00000442744/ENST00000596273/ENST00000596873/ENST00000601216/ENST00000594527/ENST00000430157/ENST00000252602/ENST00000595444/ENST00000602206/ENST00000600434/ENST00000601390/ENST00000525634/ENST00000525828/ENST00000526895/ENST00000333130/ENST00000443660/ENST00000471259/ENST00000594999"
"GO:0001649","BP","GO:0001649","osteoblast differentiation",66,0.820847601696731,5.0429446426062,1e-10,1.35260663507109e-09,7.2561736093789e-10,1486,"tags=83%, list=6%, signal=78%","ENST00000593503/ENST00000630901/ENST00000221801/ENST00000594443/ENST00000625241/ENST00000629964/ENST00000595545/ENST00000630954/ENST00000597224/ENST00000629606/ENST00000601274/ENST00000630592/ENST00000597634/ENST00000627797/ENST00000282561/ENST00000649003/ENST00000650427/ENST00000598417/ENST00000625673/ENST00000505490/ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",67,0.825725273806538,5.04165546401998,1e-10,1.35260663507109e-09,7.2561736093789e-10,4236,"tags=100%, list=18%, signal=83%","ENST00000298283/ENST00000632799/ENST00000634150/ENST00000633919/ENST00000617731/ENST00000632240/ENST00000632419/ENST00000632530/ENST00000632592/ENST00000633731/ENST00000578532/ENST00000579248/ENST00000579408/ENST00000580210/ENST00000580261/ENST00000580387/ENST00000581091/ENST00000581373/ENST00000582935/ENST00000583036/ENST00000583637/ENST00000584364/ENST00000615479/ENST00000615760/ENST00000617346/ENST00000618613/ENST00000618619/ENST00000221975/ENST00000593863/ENST00000600467/ENST00000598399/ENST00000598742/ENST00000598261/ENST00000598466/ENST00000601492/ENST00000610796/ENST00000611572/ENST00000614070/ENST00000614095/ENST00000619600/ENST00000621621/ENST00000492704/ENST00000599561/ENST00000594493/ENST00000601306/ENST00000599167/ENST00000602252/ENST00000595158/ENST00000595683/ENST00000596304/ENST00000597451/ENST00000599551/ENST00000596272/ENST00000270625/ENST00000600027/ENST00000598780/ENST00000599595/ENST00000442744/ENST00000596273/ENST00000596873/ENST00000601216/ENST00000594527/ENST00000430157/ENST00000601390/ENST00000525634/ENST00000525828/ENST00000526895"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",102,0.752804757334131,4.94640078898372,1e-10,1.35260663507109e-09,7.2561736093789e-10,4311,"tags=91%, list=18%, signal=75%","ENST00000300151/ENST00000371443/ENST00000298283/ENST00000534340/ENST00000632799/ENST00000634150/ENST00000633919/ENST00000288937/ENST00000529958/ENST00000617731/ENST00000632240/ENST00000632419/ENST00000632530/ENST00000632592/ENST00000633731/ENST00000578532/ENST00000579248/ENST00000579408/ENST00000580210/ENST00000580261/ENST00000580387/ENST00000581091/ENST00000581373/ENST00000582935/ENST00000583036/ENST00000583637/ENST00000584364/ENST00000615479/ENST00000615760/ENST00000617346/ENST00000618613/ENST00000618619/ENST00000285298/ENST00000443449/ENST00000221975/ENST00000593863/ENST00000600467/ENST00000598399/ENST00000540949/ENST00000598742/ENST00000543703/ENST00000537701/ENST00000538814/ENST00000543164/ENST00000543959/ENST00000598261/ENST00000598466/ENST00000601492/ENST00000610796/ENST00000611572/ENST00000614070/ENST00000614095/ENST00000619600/ENST00000621621/ENST00000492704/ENST00000279242/ENST00000524482/ENST00000526319/ENST00000532671/ENST00000309594/ENST00000531705/ENST00000532203/ENST00000372014/ENST00000599561/ENST00000594493/ENST00000601306/ENST00000599167/ENST00000602252/ENST00000595158/ENST00000595683/ENST00000596304/ENST00000597451/ENST00000599551/ENST00000596272/ENST00000270625/ENST00000600027/ENST00000598780/ENST00000599595/ENST00000442744/ENST00000596273/ENST00000596873/ENST00000601216/ENST00000594527/ENST00000430157/ENST00000252602/ENST00000595444/ENST00000602206/ENST00000600434/ENST00000601390/ENST00000525634/ENST00000525828/ENST00000526895/ENST00000594999"
"GO:0019882","BP","GO:0019882","antigen processing and presentation",115,0.715734653671357,4.87365781203401,1e-10,1.35260663507109e-09,7.2561736093789e-10,6777,"tags=99%, list=28%, signal=71%","ENST00000468663/ENST00000475452/ENST00000600463/ENST00000407280/ENST00000399630/ENST00000425784/ENST00000427919/ENST00000446855/ENST00000447073/ENST00000449883/ENST00000458543/ENST00000456487/ENST00000437784/ENST00000444645/ENST00000376630/ENST00000383597/ENST00000415289/ENST00000415649/ENST00000425603/ENST00000427936/ENST00000444683/ENST00000383236/ENST00000383238/ENST00000416134/ENST00000416564/ENST00000421445/ENST00000429645/ENST00000435978/ENST00000436627/ENST00000438442/ENST00000441960/ENST00000446762/ENST00000452573/ENST00000455660/ENST00000457261/ENST00000426847/ENST00000429840/ENST00000474698/ENST00000497426/ENST00000476430/ENST00000486521/ENST00000493020/ENST00000428219/ENST00000433936/ENST00000241802/ENST00000374940/ENST00000415898/ENST00000420385/ENST00000442315/ENST00000443184/ENST00000444296/ENST00000446482/ENST00000447735/ENST00000449560/ENST00000450614/ENST00000450960/ENST00000453672/ENST00000456258/ENST00000457246/ENST00000546801/ENST00000547960/ENST00000551533/ENST00000466370/ENST00000467732/ENST00000472833/ENST00000485999/ENST00000490859/ENST00000491978/ENST00000493659/ENST00000415926/ENST00000422504/ENST00000424530/ENST00000415247/ENST00000419277/ENST00000443117/ENST00000454805/ENST00000515317/ENST00000430790/ENST00000418023/ENST00000441297/ENST00000453504/ENST00000461508/ENST00000484643/ENST00000421888/ENST00000473366/ENST00000475182/ENST00000480059/ENST00000399065/ENST00000472708/ENST00000419914/ENST00000424806/ENST00000479107/ENST00000484244/ENST00000486369/ENST00000511285/ENST00000434886/ENST00000399088/ENST00000413089/ENST00000490862/ENST00000480749/ENST00000479570/ENST00000399074/ENST00000383121/ENST00000383118/ENST00000383239/ENST00000419142/ENST00000443713/ENST00000612574/ENST00000613095/ENST00000619283/ENST00000620674/ENST00000452371/ENST00000455842/ENST00000457634"
"GO:0034707","CC","GO:0034707","chloride channel complex",36,0.931327672029611,4.85383686789272,1e-10,1.35260663507109e-09,7.2561736093789e-10,1486,"tags=97%, list=6%, signal=91%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:1990351","CC","GO:1990351","transporter complex",86,0.763844929865605,4.85343254909986,1e-10,1.35260663507109e-09,7.2561736093789e-10,2864,"tags=79%, list=12%, signal=70%","ENST00000215570/ENST00000591871/ENST00000372902/ENST00000644112/ENST00000645279/ENST00000647480/ENST00000257245/ENST00000252102/ENST00000525158/ENST00000525587/ENST00000512088/ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613/ENST00000502960/ENST00000612612/ENST00000620109/ENST00000611200/ENST00000615238/ENST00000618189/ENST00000618420/ENST00000593353/ENST00000619763/ENST00000610357/ENST00000610406/ENST00000610975/ENST00000612327/ENST00000613276/ENST00000615590/ENST00000617282/ENST00000618338/ENST00000619253/ENST00000619966/ENST00000620289/ENST00000621307/ENST00000622523"
"GO:0046034","BP","GO:0046034","ATP metabolic process",71,0.781444611610294,4.83713497624345,1e-10,1.35260663507109e-09,7.2561736093789e-10,3965,"tags=94%, list=17%, signal=79%","ENST00000377953/ENST00000531323/ENST00000487257/ENST00000229277/ENST00000535366/ENST00000541477/ENST00000545045/ENST00000252102/ENST00000512088/ENST00000647380/ENST00000442303/ENST00000449367/ENST00000463406/ENST00000474120/ENST00000482199/ENST00000502960/ENST00000647074/ENST00000474320/ENST00000642464/ENST00000480497/ENST00000612612/ENST00000620109/ENST00000614837/ENST00000611200/ENST00000615238/ENST00000618189/ENST00000618420/ENST00000591249/ENST00000491989/ENST00000494306/ENST00000464949/ENST00000223136/ENST00000473527/ENST00000395633/ENST00000591660/ENST00000593353/ENST00000590265/ENST00000258424/ENST00000619763/ENST00000610357/ENST00000610406/ENST00000610975/ENST00000612327/ENST00000613276/ENST00000615590/ENST00000617282/ENST00000618338/ENST00000619253/ENST00000619966/ENST00000620289/ENST00000621307/ENST00000622523/ENST00000361381/ENST00000215565/ENST00000311180/ENST00000622065/ENST00000589478/ENST00000374436/ENST00000374443/ENST00000374450/ENST00000440766/ENST00000447927/ENST00000675032/ENST00000361681/ENST00000435848/ENST00000215375/ENST00000588538"
"GO:0034109","BP","GO:0034109","homotypic cell-cell adhesion",35,0.939425565667529,4.82222464720151,1e-10,1.35260663507109e-09,7.2561736093789e-10,1486,"tags=100%, list=6%, signal=94%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
