"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0030218","BP","GO:0030218","erythrocyte differentiation",21,-0.973022969014953,-4.04905313185121,1.221892611831e-32,1.05876994815156e-29,5.13837998343668e-30,197,"tags=100%, list=3%, signal=97%","ENST00000400040/ENST00000422919/ENST00000430065/ENST00000433487/ENST00000441618/ENST00000449876/ENST00000452298/ENST00000375650/ENST00000391548/ENST00000391555/ENST00000445736/ENST00000450744/ENST00000458062/ENST00000545241/ENST00000617605/ENST00000619603/ENST00000631575/ENST00000632867/ENST00000632449/ENST00000633512"
"GO:0034101","BP","GO:0034101","erythrocyte homeostasis",21,-0.973022969014953,-4.04905313185121,1.221892611831e-32,1.05876994815156e-29,5.13837998343668e-30,197,"tags=100%, list=3%, signal=97%","ENST00000400040/ENST00000422919/ENST00000430065/ENST00000433487/ENST00000441618/ENST00000449876/ENST00000452298/ENST00000375650/ENST00000391548/ENST00000391555/ENST00000445736/ENST00000450744/ENST00000458062/ENST00000545241/ENST00000617605/ENST00000619603/ENST00000631575/ENST00000632867/ENST00000632449/ENST00000633512"
"GO:0042026","BP","GO:0042026","protein refolding",21,-0.973022969014953,-4.04905313185121,1.221892611831e-32,1.05876994815156e-29,5.13837998343668e-30,197,"tags=100%, list=3%, signal=97%","ENST00000400040/ENST00000422919/ENST00000430065/ENST00000433487/ENST00000441618/ENST00000449876/ENST00000452298/ENST00000375650/ENST00000391548/ENST00000391555/ENST00000445736/ENST00000450744/ENST00000458062/ENST00000545241/ENST00000617605/ENST00000619603/ENST00000631575/ENST00000632867/ENST00000632449/ENST00000633512"
"GO:0045646","BP","GO:0045646","regulation of erythrocyte differentiation",21,-0.973022969014953,-4.04905313185121,1.221892611831e-32,1.05876994815156e-29,5.13837998343668e-30,197,"tags=100%, list=3%, signal=97%","ENST00000400040/ENST00000422919/ENST00000430065/ENST00000433487/ENST00000441618/ENST00000449876/ENST00000452298/ENST00000375650/ENST00000391548/ENST00000391555/ENST00000445736/ENST00000450744/ENST00000458062/ENST00000545241/ENST00000617605/ENST00000619603/ENST00000631575/ENST00000632867/ENST00000632449/ENST00000633512"
"GO:0032088","BP","GO:0032088","negative regulation of NF-kappaB transcription factor activity",40,0.859461966604824,4.34733965163789,2.70101501024806e-31,1.56028633758663e-28,7.57231927434456e-29,949,"tags=100%, list=15%, signal=86%","ENST00000610346/ENST00000611410/ENST00000611642/ENST00000611676/ENST00000611679/ENST00000611772/ENST00000612072/ENST00000612740/ENST00000613062/ENST00000613485/ENST00000613825/ENST00000613851/ENST00000615173/ENST00000615391/ENST00000615521/ENST00000616040/ENST00000616903/ENST00000616919/ENST00000618011/ENST00000618018/ENST00000618694/ENST00000618731/ENST00000618789/ENST00000618943/ENST00000619281/ENST00000619454/ENST00000619664/ENST00000619885/ENST00000620082/ENST00000620805/ENST00000621057/ENST00000621200/ENST00000621239/ENST00000621594/ENST00000622042/ENST00000622216/ENST00000622444/ENST00000622600/ENST00000622773/ENST00000622864"
"GO:0032090","MF","GO:0032090","Pyrin domain binding",40,0.859461966604824,4.34733965163789,2.70101501024806e-31,1.56028633758663e-28,7.57231927434456e-29,949,"tags=100%, list=15%, signal=86%","ENST00000610346/ENST00000611410/ENST00000611642/ENST00000611676/ENST00000611679/ENST00000611772/ENST00000612072/ENST00000612740/ENST00000613062/ENST00000613485/ENST00000613825/ENST00000613851/ENST00000615173/ENST00000615391/ENST00000615521/ENST00000616040/ENST00000616903/ENST00000616919/ENST00000618011/ENST00000618018/ENST00000618694/ENST00000618731/ENST00000618789/ENST00000618943/ENST00000619281/ENST00000619454/ENST00000619664/ENST00000619885/ENST00000620082/ENST00000620805/ENST00000621057/ENST00000621200/ENST00000621239/ENST00000621594/ENST00000622042/ENST00000622216/ENST00000622444/ENST00000622600/ENST00000622773/ENST00000622864"
"GO:0043280","BP","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",46,0.800583106299854,4.24361354630884,2.50460228215022e-28,1.24013592999038e-25,6.01857811560308e-26,949,"tags=96%, list=15%, signal=82%","ENST00000512466/ENST00000618970/ENST00000507473/ENST00000511482/ENST00000610346/ENST00000611410/ENST00000611642/ENST00000611676/ENST00000611679/ENST00000611772/ENST00000612072/ENST00000612740/ENST00000613062/ENST00000613485/ENST00000613825/ENST00000613851/ENST00000615173/ENST00000615391/ENST00000615521/ENST00000616040/ENST00000616903/ENST00000616919/ENST00000618011/ENST00000618018/ENST00000618694/ENST00000618731/ENST00000618789/ENST00000618943/ENST00000619281/ENST00000619454/ENST00000619664/ENST00000619885/ENST00000620082/ENST00000620805/ENST00000621057/ENST00000621200/ENST00000621239/ENST00000621594/ENST00000622042/ENST00000622216/ENST00000622444/ENST00000622600/ENST00000622773/ENST00000622864"
"GO:0032731","BP","GO:0032731","positive regulation of interleukin-1 beta production",42,0.824847747138898,4.27347529555454,1.27180294374156e-27,4.89785444778693e-25,2.37700713929708e-25,949,"tags=95%, list=15%, signal=82%","ENST00000610346/ENST00000611410/ENST00000611642/ENST00000611676/ENST00000611679/ENST00000611772/ENST00000612072/ENST00000612740/ENST00000613062/ENST00000613485/ENST00000613825/ENST00000613851/ENST00000615173/ENST00000615391/ENST00000615521/ENST00000616040/ENST00000616903/ENST00000616919/ENST00000618011/ENST00000618018/ENST00000618694/ENST00000618731/ENST00000618789/ENST00000618943/ENST00000619281/ENST00000619454/ENST00000619664/ENST00000619885/ENST00000620082/ENST00000620805/ENST00000621057/ENST00000621200/ENST00000621239/ENST00000621594/ENST00000622042/ENST00000622216/ENST00000622444/ENST00000622600/ENST00000622773/ENST00000622864"
"GO:0032732","BP","GO:0032732","positive regulation of interleukin-1 production",42,0.824847747138898,4.27347529555454,1.27180294374156e-27,4.89785444778693e-25,2.37700713929708e-25,949,"tags=95%, list=15%, signal=82%","ENST00000610346/ENST00000611410/ENST00000611642/ENST00000611676/ENST00000611679/ENST00000611772/ENST00000612072/ENST00000612740/ENST00000613062/ENST00000613485/ENST00000613825/ENST00000613851/ENST00000615173/ENST00000615391/ENST00000615521/ENST00000616040/ENST00000616903/ENST00000616919/ENST00000618011/ENST00000618018/ENST00000618694/ENST00000618731/ENST00000618789/ENST00000618943/ENST00000619281/ENST00000619454/ENST00000619664/ENST00000619885/ENST00000620082/ENST00000620805/ENST00000621057/ENST00000621200/ENST00000621239/ENST00000621594/ENST00000622042/ENST00000622216/ENST00000622444/ENST00000622600/ENST00000622773/ENST00000622864"
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process",50,0.771585762375768,4.20010434381371,8.95247615504395e-27,3.10292823533823e-24,1.5059007258695e-24,949,"tags=88%, list=15%, signal=76%","ENST00000512466/ENST00000618970/ENST00000507473/ENST00000511482/ENST00000610346/ENST00000611410/ENST00000611642/ENST00000611676/ENST00000611679/ENST00000611772/ENST00000612072/ENST00000612740/ENST00000613062/ENST00000613485/ENST00000613825/ENST00000613851/ENST00000615173/ENST00000615391/ENST00000615521/ENST00000616040/ENST00000616903/ENST00000616919/ENST00000618011/ENST00000618018/ENST00000618694/ENST00000618731/ENST00000618789/ENST00000618943/ENST00000619281/ENST00000619454/ENST00000619664/ENST00000619885/ENST00000620082/ENST00000620805/ENST00000621057/ENST00000621200/ENST00000621239/ENST00000621594/ENST00000622042/ENST00000622216/ENST00000622444/ENST00000622600/ENST00000622773/ENST00000622864"
