"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process",41,0.940339684732622,4.56892891128485,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=85%, list=2%, signal=84%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0005253","MF","GO:0005253","anion channel activity",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0005254","MF","GO:0005254","chloride channel activity",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0006749","BP","GO:0006749","glutathione metabolic process",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0006821","BP","GO:0006821","chloride transport",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0015103","MF","GO:0015103","inorganic anion transmembrane transporter activity",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0015108","MF","GO:0015108","chloride transmembrane transporter activity",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0015698","BP","GO:0015698","inorganic anion transport",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0034707","CC","GO:0034707","chloride channel complex",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0051881","BP","GO:0051881","regulation of mitochondrial membrane potential",35,0.982370433305013,4.54690807585279,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=100%, list=2%, signal=98%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
"GO:0045669","BP","GO:0045669","positive regulation of osteoblast differentiation",37,0.963572192645161,4.54633266487026,1e-10,1.995e-09,9.80451127819549e-10,118,"tags=95%, list=2%, signal=93%","ENST00000375779/ENST00000375780/ENST00000375784/ENST00000383404/ENST00000383405/ENST00000395892/ENST00000400052/ENST00000400058/ENST00000415179/ENST00000418285/ENST00000420458/ENST00000422167/ENST00000423055/ENST00000423143/ENST00000423804/ENST00000425464/ENST00000431921/ENST00000433916/ENST00000434202/ENST00000435242/ENST00000438708/ENST00000438750/ENST00000442045/ENST00000447338/ENST00000447369/ENST00000451546/ENST00000456863/ENST00000457485/ENST00000614673/ENST00000614982/ENST00000616760/ENST00000618288/ENST00000619727/ENST00000621055/ENST00000622613"
