"","ensembl.transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene.name","gene.description","Chromosome.scaffold.name","Gene.stable.ID","tissues","max.tissue"
"1","ENST00000338791",3.73170239495919,8.36002241808265,18.0050390809063,3.24536158968625e-11,1.16643357302044e-07,15.977104914488,"IMPDH1","inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]","7","ENSG00000106348","Artery - Aorta/Bladder/Esophagus - Gastroesophageal Junction/Minor Salivary Gland/Spleen/Testis/Whole Blood","Whole Blood"
"2","ENST00000348127",3.73170239495919,8.36002241808265,18.0050390809063,3.24536158968625e-11,1.16643357302044e-07,15.977104914488,"IMPDH1","inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]","7","ENSG00000106348","Bladder/Cells - Transformed fibroblasts","Cells - Transformed fibroblasts"
"3","ENST00000469328",3.73170239495919,8.36002241808265,18.0050390809063,3.24536158968625e-11,1.16643357302044e-07,15.977104914488,"IMPDH1","inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]","7","ENSG00000106348","Whole Blood","Whole Blood"
"4","ENST00000248983",3.12515202026317,7.38333546459396,17.6103071436823,4.39682830383068e-11,1.16643357302044e-07,15.6986713617555,"RFPL2","ret finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:9979]","22","ENSG00000128253","Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Spinal cord/Brain - Substantia nigra/Prostate","Brain - Frontal Cortex"
"5","ENST00000400237",3.12515202026317,7.38333546459396,17.6103071436823,4.39682830383068e-11,1.16643357302044e-07,15.6986713617555,"RFPL2","ret finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:9979]","22","ENSG00000128253","Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Substantia nigra/Pituitary/Prostate","Brain - Cortex"
"6","ENST00000527413",2.22377293952521,7.49489973559164,17.7491261691354,3.9487019899019e-11,1.16643357302044e-07,15.7974246544402,"ZNRD2","zinc ribbon domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11328]","11","ENSG00000173465","Adrenal Gland/Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Cerebellar Hemisphere/Brain - Cortex/Cells - Transformed fibroblasts/Colon - Sigmoid/Esophagus - Mucosa/Minor Salivary Gland/Prostate/Skin - Not Sun Exposed/Spleen/Testis","Minor Salivary Gland"
"7","ENST00000370388",6.2663750942173,9.78825719229242,17.434769822466,5.04265104086685e-11,1.23685886132893e-07,15.5724788295918,"KHDC1L","KH domain containing 1 like [Source:HGNC Symbol;Acc:HGNC:37274]","6","ENSG00000256980","Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Nucleus accumbens/Brain - Putamen/Pituitary/Testis","Testis"
"8","ENST00000376377",4.46073206986718,9.77949354919924,16.5377694278736,1.03663783201586e-10,1.48005579660903e-07,14.9037463493202,"IER3","immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]","6","ENSG00000137331","Stomach","Stomach"
"9","ENST00000491153",3.92651790529943,8.14539113476181,16.5445179788984,1.03089714118138e-10,1.48005579660903e-07,14.9089318224164,"KDM5B","lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]","1","ENSG00000117139","Testis","Testis"
"10","ENST00000440264",3.96015942341991,7.96776233665539,16.3026167068624,1.25957858084119e-10,1.61867483014448e-07,14.721544271573,"CCNA1","cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]","13","ENSG00000133101","Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Cervix - Endocervix/Pituitary/Testis","Testis"
"11","ENST00000527548",2.47634765062669,11.9355538057708,16.1901862360982,1.38377031541447e-10,1.61867483014448e-07,14.6333777428633,"FAU","FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]","11","ENSG00000149806","Artery - Aorta/Brain - Nucleus accumbens/Cells - EBV-transformed lymphocytes/Cervix - Endocervix/Kidney - Cortex/Ovary/Pituitary","Ovary"
