"","ensembl.transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene.name","gene.description","Chromosome.scaffold.name","Gene.stable.ID","tissues","max.tissue"
"1","ENST00000237612",4.17595291348778,7.49667228133063,29.4351645989048,3.48021457529933e-14,5.54856410097597e-10,20.497347656469,"ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]","4","ENSG00000118777","Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Spinal cord/Brain - Substantia nigra/Cervix - Endocervix/Small Intestine - Terminal Ileum/Uterus","Brain - Hippocampus"
"2","ENST00000439109",3.29971568172998,7.8711760924198,25.9912332881936,1.99421330494628e-13,2.3845556317232e-09,19.3759734858754,"NQO1","NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]","16","ENSG00000181019","Adrenal Gland/Brain - Caudate/Brain - Putamen/Cells - Transformed fibroblasts/Esophagus - Mucosa","Cells - Transformed fibroblasts"
"3","ENST00000379047",3.16285971208633,7.46972884018584,21.6404638158769,2.56470690543307e-12,2.45337297866822e-08,17.5471330488468,"NQO1","NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]","16","ENSG00000181019","Cells - Transformed fibroblasts/Stomach","Cells - Transformed fibroblasts"
"4","ENST00000455893",2.29882764453131,7.34911925482741,18.1430161507078,2.92275997968684e-11,1.39794148448431e-07,15.6190673086117,"CPVL","carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]","7","ENSG00000106066","Cervix - Ectocervix/Heart - Left Ventricle/Kidney - Cortex/Spleen/Testis/Thyroid","Spleen"
"5","ENST00000309195",2.30884790743221,7.26975974315511,16.321336792818,1.24008144913224e-10,4.56249812855928e-07,14.3997626529179,"PTGR1","prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]","9","ENSG00000106853","Adrenal Gland/Bladder/Liver","Liver"
"6","ENST00000374324",2.30884790743221,7.26975974315511,16.321336792818,1.24008144913224e-10,4.56249812855928e-07,14.3997626529179,"PTGR1","prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]","9","ENSG00000106853","Bladder/Liver/Small Intestine - Terminal Ileum","Liver"
"7","ENST00000310018",2.17091827015169,7.39189071206997,15.0870447684089,3.59656072148739e-10,8.34996502870197e-07,13.4706308387506,"ATP6V0A4","ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]","7","ENSG00000105929","Kidney - Cortex/Minor Salivary Gland/Skin - Not Sun Exposed/Skin - Sun Exposed","Kidney - Cortex"
"8","ENST00000393054",2.17091827015169,7.39189071206997,15.0870447684089,3.59656072148739e-10,8.34996502870197e-07,13.4706308387506,"ATP6V0A4","ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]","7","ENSG00000105929","Esophagus - Mucosa/Kidney - Cortex/Minor Salivary Gland/Skin - Not Sun Exposed/Skin - Sun Exposed","Kidney - Cortex"
"9","ENST00000478480",2.94284791049748,7.75752072028631,14.7680197637059,4.79625882229393e-10,1.0427393697314e-06,13.2153408301412,"ATP6V0A4","ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]","7","ENSG00000105929","Minor Salivary Gland","Minor Salivary Gland"
"10","ENST00000412371",2.33078532383969,6.68838335004358,14.5245588547392,5.99688565413764e-10,1.22054486125352e-06,13.0160688959013,"SUN3","Sad1 and UNC84 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22429]","7","ENSG00000164744","Testis","Testis"
"11","ENST00000394207",-2.32390565787771,7.64619176282564,-13.9472607259829,1.03236742176467e-09,1.64592058664311e-06,12.5275242000753,"ZFYVE1","zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]","14","ENSG00000165861","Kidney - Cortex/Liver/Minor Salivary Gland/Pituitary/Spleen/Testis","Testis"
"12","ENST00000555072",-2.32390565787771,7.64619176282564,-13.9472607259829,1.03236742176467e-09,1.64592058664311e-06,12.5275242000753,"ZFYVE1","zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]","14","ENSG00000165861","Testis","Testis"
"13","ENST00000430431",-2.20070368266465,7.15985787165372,-12.3859708118052,4.97766563467871e-09,5.66855377318727e-06,11.0831147426525,"MRLN","myoregulin [Source:HGNC Symbol;Acc:HGNC:48649]","10","ENSG00000227877","Brain - Cerebellar Hemisphere/Brain - Cerebellum/Muscle - Skeletal/Pituitary","Muscle - Skeletal"
"14","ENST00000594536",-2.09007362461712,7.1443547264832,-11.8131629868683,9.24862800494917e-09,8.50687025312916e-06,10.5034043538904,"MRLN","myoregulin [Source:HGNC Symbol;Acc:HGNC:48649]","10","ENSG00000227877","Brain - Cerebellar Hemisphere/Muscle - Skeletal","Muscle - Skeletal"
"15","ENST00000556761",-2.10206683465098,7.53933708061094,-11.6594155325672,1.09681806666448e-08,9.80565602234182e-06,10.342857217125,"ZFYVE1","zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]","14","ENSG00000165861","Testis","Testis"
"16","ENST00000319359",-3.04111297625665,7.30248058757805,-11.4256433417954,1.42656288660222e-08,1.06612171226157e-05,10.0945876886952,"ELL3","elongation factor for RNA polymerase II 3 [Source:HGNC Symbol;Acc:HGNC:23113]","15","ENSG00000128886","Testis","Testis"
"17","ENST00000417761",-3.04111297625665,7.30248058757805,-11.4256433417954,1.42656288660222e-08,1.06612171226157e-05,10.0945876886952,"","novel protein","15","ENSG00000262560","Testis","Testis"
"18","ENST00000467869",-3.04111297625665,7.30248058757805,-11.4256433417954,1.42656288660222e-08,1.06612171226157e-05,10.0945876886952,"ELL3","elongation factor for RNA polymerase II 3 [Source:HGNC Symbol;Acc:HGNC:23113]","15","ENSG00000128886","Colon - Transverse/Esophagus - Mucosa/Skin - Not Sun Exposed/Skin - Sun Exposed/Small Intestine - Terminal Ileum/Testis","Skin - Not Sun Exposed"
"19","ENST00000376377",-3.04398777728372,9.77949354919924,-11.2853153279575,1.67392408945923e-08,1.08193178698365e-05,9.94309920185109,"IER3","immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]","6","ENSG00000137331","Stomach","Stomach"
"20","ENST00000482286",-2.83073862891463,8.3428993315196,-11.0282270897115,2.2531960123971e-08,1.34068682353363e-05,9.66066545272376,"ABCA17P","ATP binding cassette subfamily A member 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:32972]","16","ENSG00000238098","Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Spinal cord/Brain - Substantia nigra/Testis","Brain - Cerebellar Hemisphere"
